Restaurant Name,Address,Failed inspection on,Alive for x years
THE LITTLE GREEN TREEHOUSE,118-130 S ASHLAND AVE ,03/15/2011,0.8602739726027397
THE LOBBY SHOP,1 N LA SALLE ST ,11/05/2012,0.021917808219178082
THE MAIN CAFETERIA,111 W MONROE ST ,04/20/2010,3.33972602739726
THE NORTHERN TRUST CHILD DEVELOPMENT CENTER,801 S CANAL ST ,01/27/2010,0.6876712328767123
THE SALVATION ARMY,1515 W MONROE ST ,08/11/2014,1.9671232876712328
THE TOWER CLUB,20 N WACKER DR ,08/04/2010,2.978082191780822
THE WESTMINSTER HOT DOG,11 N WELLS ST ,01/09/2014,0.7808219178082192
THE WORKS OFF VAN BUREN,335 S FRANKLIN ST ,04/05/2011,2.5397260273972604
Three Aces Restaurant,1321-1323 W TAYLOR ST ,09/23/2010,6.419178082191781
TOAST IT,201 N CLARK ST ,08/13/2013,0.8082191780821918
TOMATO HEAD,945 W RANDOLPH ST ,01/15/2010,3.7315068493150685
TOPPERS PIZZA,2 E 8TH ST ,08/18/2016,0.6301369863013698
TOWER MARKET AND GRILL,216 W JACKSON BLVD ,12/17/2013,1.3041095890410959
TRADER MIKE,400 S Financial PL ,12/14/2011,1.358904109589041
TRAVEL TRADERS #523,323 E WACKER DR ,12/28/2010,3.96986301369863
TREAT AMERICA FOOD SERVICES,225 W RANDOLPH ST ,12/13/2013,2.4328767123287673
TRI STAR CATERING,150 S WACKER DR ,08/04/2010,5.863013698630137
TRIPLE I RESTAURANT,177 N STATE ST ,06/03/2011,2.263013698630137
UNION PARK LOUNGE,228 S RACINE AVE ,09/10/2014,0.9972602739726028
URBAN KITCHEN,100 S WACKER DR ,05/14/2010,3.1835616438356165
URBAN UNION,1421 W TAYLOR ,12/01/2011,2.780821917808219
VENICE CAFE,233 S WACKER DR ,05/06/2011,6.345205479452055
"VENUE ONE, LLC",1034 W RANDOLPH ST ,09/17/2013,4.087671232876712
VENUS CYPRIOT CUISINE,820 W JACKSON BLVD ,10/07/2010,3.052054794520548
VERA,1023 W LAKE ST ,10/28/2013,3.978082191780822
VINCENZO'S,1104 W MADISON ST ,10/13/2015,0.9643835616438357
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,07/15/2010,4.03013698630137
W CHICAGO CITY CENTER,172 W ADAMS ST ,09/03/2010,1.6849315068493151
WAFFLES,1400 S MICHIGAN AVE ,12/19/2013,2.7534246575342465
WALGREENS #1332,300 N MICHIGAN AVE ,11/08/2012,2.506849315068493
WENDY'S OLD FASHIONED HAMBURGERS,6 S CLARK ST ,09/04/2014,2.0136986301369864
WENDY'S PROPERTIES LLC,6 S CLARK ST ,09/30/2015,1.5397260273972602
WHOLLY INNOCENTS DAYCARE CENTER.,34 N Sangamon ST ,12/15/2011,5.83013698630137
WING STOP,12 E HARRISON ST ,10/25/2010,6.391780821917808
WOKSTATION,39 N WELLS ST ,10/28/2016,0.6520547945205479
WOLFGANG PUCK CATERING & EVENTS AT SPERTUS INSTITU,610 S MICHIGAN AVE ,04/07/2016,1.6246575342465754
Yang,28 E ROOSEVELT RD ,02/10/2012,2.7753424657534245
Yogen Fruz,333 S State ST BLDG ,09/11/2013,1.6547945205479453
ZAPATISTA,1307 S WABASH AVE ,09/14/2012,2.758904109589041
